feature1,feature2,global_correlation,lower_tail_correlation,upper_tail_correlation,max_tail_correlation,discovery_type,significance
feature_00,feature_04,-0.017387470416791274,-0.5611695089907651,-0.613523031466739,0.613523031466739,hidden_tail_correlation,0.6028554179070911
feature_00,feature_06,-0.014729076866848063,-0.5345976015256052,-0.605754449645716,0.605754449645716,hidden_tail_correlation,0.596832245794449
feature_00,feature_07,-0.025766526034707,-0.5534909642675607,-0.6346777811113551,0.6346777811113551,hidden_tail_correlation,0.6183243395406993
feature_00,feature_09,-0.03773755414370728,-0.6350495750252942,-0.5890151535345924,0.6350495750252942,hidden_tail_correlation,0.6110843573038389
feature_00,derived_product,-0.04846277737623102,-0.6199596792983297,-0.48542625298877773,0.6199596792983297,hidden_tail_correlation,0.5899147113782551
feature_01,feature_06,-0.018245968500441367,-0.6028777185775668,-0.5657973980934105,0.6028777185775668,hidden_tail_correlation,0.5918776307147825
feature_01,derived_product,-0.03564359636366075,-0.6318337756796113,-0.4477967515839824,0.6318337756796113,hidden_tail_correlation,0.6093129476103595
feature_02,feature_07,-0.03142687524936241,-0.5559387560256995,-0.6394827793463177,0.6394827793463177,hidden_tail_correlation,0.6193858338156855
feature_02,feature_09,0.02938958588798329,-0.6012312284469084,-0.5461764961105277,0.6012312284469084,hidden_tail_correlation,0.5835612916199303
feature_02,derived_product,-0.0571746192459483,-0.3149103967495402,-0.8499557849979249,0.8499557849979249,hidden_tail_correlation,0.8013598866147774
feature_03,feature_06,-0.0371566994341439,-0.5664058374715412,-0.6115466215748904,0.6115466215748904,hidden_tail_correlation,0.588823567567066
feature_03,feature_07,0.0156359461311135,-0.5212549964762141,-0.6185468974156039,0.6185468974156039,hidden_tail_correlation,0.6088753314480461
feature_06,feature_07,-0.04776017928507365,-0.6029973858540717,-0.6063072755907358,0.6063072755907358,hidden_tail_correlation,0.5773499314066777
feature_06,feature_09,-0.04019446808156781,-0.6129931468791333,-0.6268392314617964,0.6268392314617964,hidden_tail_correlation,0.6016437619805308
